Umbrella Cell Type,Specific Cell Type,Brain Region,Gene Symbol (Human),Gene Symbol (Mouse),Species,Age,Statistical Criterion,Specificity,Comparison,Platform,Citation,Tag,CellType_Primary
Endothelial,All,Temporal Lobe,CEBPD,Cebpd,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,TBX3,Tbx3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,IL6,Il6,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,EDN3,Edn3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,ITGA1,Itga1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Endothelial,All,Temporal Lobe,ICAM1,Icam1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Endothelial_All_Darmanis_PNAS_2015,Endothelial
Oligodendrocyte,Mature,Temporal Lobe,KLK6,Klk6,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,ERMN,Ermn,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,UGT8,Ugt8a,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,TF,Trf,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,CNDP1,Cndp1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,OPALIN,Opalin,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,RNASE1,Rnase1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,ENPP2,Enpp2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,MAG,Mag,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,CARNS1,Carns1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,MOBP,Mobp,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,CLDN11,Cldn11,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,C11orf9,NA,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,DBNDD2,Dbndd2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,CAPN3,Capn3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,FOLH1,Folh1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,LPAR1,Lpar1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,GJB1,Gjb1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,TMEM144,Tmem144,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,ABCA8,Abca8b,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Oligodendrocyte,Mature,Temporal Lobe,HHIP,Hhip,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Mature_Darmanis_PNAS_2015,Oligodendrocyte
Microglia,All,Temporal Lobe,CD53,Cd53,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,ITGAX,Itgax,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,OLR1,Olr1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,FCGR3A,Fcgr4,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,C3,C3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,IL1B,Il1b,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,CCL3,Ccl3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,CCL4,Ccl4,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,LILRB4,Lilr4b,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,C3AR1,C3ar1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,LAPTM5,Laptm5,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,DHRS9,Dhrs9,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,PLEK,Plek,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,ALOX5AP,Alox5ap,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,CD74,Cd74,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,MSR1,Msr1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,PTPRC,Ptprc,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,GPR183,Gpr183,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,RGS10,Rgs10,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,C1QA,C1qa,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Microglia,All,Temporal Lobe,LCP1,Lcp1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Microglia_All_Darmanis_PNAS_2015,Microglia
Neuron,All,Temporal Lobe,TMEM130,Tmem130,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,GABRB2,Gabrb2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,VSNL1,Vsnl1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,GABRA1,Gabra1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,SYNPR,Synpr,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,THY1,Thy1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CAMK2A,Camk2a,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,MEG3,Meg3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,GABRG2,Gabrg2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CKMT1B,Ckmt1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CCK,Cck,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CHGB,Chgb,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,SCG2,Scg2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,DNM1,Dnm1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,MAP7D2,Map7d2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CELF4,Celf4,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,CIT,Cit,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,UNC80,Unc80,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,NRXN3,Nrxn3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,SCN2A,Scn2a1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Neuron,All,Temporal Lobe,SNAP25,Snap25,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Neuron_All_Darmanis_PNAS_2015,Neuron_All
Oligodendrocyte,Progenitor Cell,Temporal Lobe,C1orf129,NA,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,PDGFRA,Pdgfra,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,LRRK2,Lrrk2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,LHFPL3,Lhfpl3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,PCDH15,Pcdh15,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,BLM,Blm,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,LAMB4,Lamb1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,MEGF11,Megf11,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,B3GNT7,B3gnt7,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,IL1RAP,Il1rap,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,SEMA5A,Sema5a,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,CRISPLD2,Crispld2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,XYLT1,Xylt1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,HAS2,Has2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,TNR,Tnr,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,GALR1,Galr1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,RAB31,Rab31,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,SH2D4A,Sh2d4a,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,TREM1,Trem1,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,LUZP2,Luzp2,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,Temporal Lobe,GAB3,Gab3,Human,Adult,Rank,Top 20,All other collected cells,RNAseq,Darmanis_PNAS_2015,Oligodendrocyte_Progenitor Cell_Darmanis_PNAS_2015,Oligodendrocyte_Immature
RBC,All,UNK,GATA1,Gata1,Human,UNK,UNK,UNK,UNK,UNK,GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC_All_GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC
RBC,All,UNK,AHSP,NA,Human,UNK,UNK,UNK,UNK,UNK,GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC_All_GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC
RBC,All,UNK,HBB,Hbb-bs,Human,UNK,UNK,UNK,UNK,UNK,GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC_All_GeneCardSearch_Hemoglobin_ErythrocyteSpecific,RBC
